model,role,pos,n_tokens_persona_directed,n_tokens_goal_oriented
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,0,0,0
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,1,339,493
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,2,624,765
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,3,955,1092
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,4,1317,1874
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,5,1687,2179
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,6,1968,2356
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,7,2439,2817
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,8,2773,3209
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,9,3112,3793
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,10,3514,4226
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,11,3941,4883
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,12,4447,5420
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,13,4848,5760
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,14,5255,5970
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,15,5698,6194
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,16,6151,6717
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,17,6612,7061
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,18,7075,7724
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,19,7501,8187
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,20,7878,8568
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,21,8284,8975
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,22,16505,9091
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,23,16740,9546
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,24,17044,10034
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,25,17376,31604
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,26,17661,31718
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,27,17966,31863
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,28,18263,32232
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,29,18600,32597
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,30,18891,33030
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,31,19312,33425
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,32,19537,33516
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,33,19809,33793
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,34,20207,34196
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,35,20480,34337
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,36,20735,34552
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,37,21059,34754
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,38,21392,35265
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,39,21704,35636
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,40,22014,36131
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,41,22327,36491
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,42,22613,37075
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,43,23030,37563
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,44,23449,38013
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,45,23850,38372
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,46,24161,38799
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,47,24462,39208
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,48,24868,39548
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,49,25193,40425
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,50,25456,40900
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,51,25857,41080
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,52,26143,41594
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,53,26435,42141
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,54,26707,42587
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,55,26977,42985
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,56,27274,43488
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,57,27490,43778
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,58,27798,44150
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,59,28055,44515
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,60,28275,44811
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,61,28542,45104
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,62,28804,45394
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,63,29134,45787
