model,role,idx,rating
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,0,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,1,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,2,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,3,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,4,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,5,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,6,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,7,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,8,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,9,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,10,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,11,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,12,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,13,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,14,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,15,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,16,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,17,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,18,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,19,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,20,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,21,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,22,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,23,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,24,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,25,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,26,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,27,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,28,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,29,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,30,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,31,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,32,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,33,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,34,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,35,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,36,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,37,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,38,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,39,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,40,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,41,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,42,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_68.json.csv,43,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,0,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,1,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,2,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,3,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,4,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,5,1
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,6,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,7,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,8,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,9,4
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,10,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,11,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,12,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,13,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,14,3
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,15,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,16,2
Llama-3.1-Nemotron-Nano-8B-v1,inst-bfi_HAL_9000_90.json.csv,17,1
